Name,Ingredients,link to dish,Making steps
Плов со свиными рёбрышками,"['рис', 'рёбрышки свиные', 'лук репчатый', 'морковь', 'чеснок', 'масло растительное', 'масло сливочное', 'зира', 'куркума', 'барбарис', 'соль', 'перец чёрный молотый']",/recipes/recipe.php?rid=170430,"Подготовьте необходимые ингредиенты. Рис я использую длиннозёрный. Сливочное масло возьмите хорошего качества. Специи добавляйте по своим предпочтениям. Количество и состав меняйте, ориентируясь на свой вкус. Рис промойте холодной водой, несколько раз её меняя, до прозрачности. Залейте рис в глубокой миске холодной водой на 30 минут. Свиные рёбрышки разрежьте на порционные кусочки. Хорошо промойте и обсушите бумажным полотенцем. Лук очистите, промойте и обсушите. Нарежьте кубиками или полукольцами.В казан влейте растительное масло и хорошо разогрейте. Выложите нарезанный лук. Помешивая деревянной лопаткой, обжарьте лук на умеренном огне до лёгкого зарумянивания, примерно 4-5 минут. Опустите к луку свиные рёбрышки. Обжарьте около 5 минут, помешивая, на умеренном огне. Степень зарумянивания регулируйте на своё усмотрение. Тем временем морковь очистите, промойте и нарежьте небольшими кубикамибрусочками.Добавьте морковь в казан и готовьте 3-4 минуты на умеренном огне, помешивая. Добавьте в казан сливочное масло. Влейте кипяток 500 мл, чтобы покрыть все рёбрышки. Доведите до кипения, накройте крышкой и тушите 20-25 минут на небольшом огне. Головку чеснока очистите от верхней шелухи, промойте и опустите к мясу. С риса слейте воду, ещё раз промойте. Дайте воде стечь.Отправьте рис в казан. Влейте кипяток так, чтобы вода была на 1,5-2 см над рисом мне понадобилось ещё 250 мл. Доведите до кипения на умеренном огне. Подсолите и поперчите, добавьте хмели-сунели, куркуму, барбарис. Перемешивать не нужно. Накройте крышкой и готовьте на маленьком огне 20 минут. Крышка должна плотно прилегать к казану и пар не должен выходить из посуды. Можно прикрыть сверху влажным полотенцем. За время томления крышку не поднимайте и не перемешивайте. По прошествии времени казан снимите с огня, не открывая крышку, и укутайте плотным полотенцем. Оставьте на 30-40 минут. Плов со свиными рёбрышками готов. Перемешайте и подавайте к столу. Приятного аппетита"
Баурсак,"['мука', 'яйца', 'молоко', 'сахар', 'масло сливочное', 'дрожжи', 'соль', 'масло растительное', 'пудра сахарная']",/recipes/recipe.php?rid=14945,"Итак, как приготовить баурсакСначала нужно подготовить ингредиенты. Продукты для баурсаков нужны самые обыкновенные. Масло растопить на водяной бане и немного остудить. В посуду выпустить яйца, налить молока, добавить масло, сахар, соль и немного дрожжей, хотя часто дрожжи вообще не кладут. Смесь хорошо перемешать до полного растворения сахара, соли и дрожжей. Затем ввести просеянную муку и замесить тесто. Оно должно быть мягче, чем тесто для домашней лапши. Взять тесто кусками по 100—150 г порцию теста разрезать на 16 кусков. Раскатать их тонкими колбасками,  примерно 1-1,5 см  толщиной. Нарезать кусочками величиной с лесной орех. Растительное масло налить в казан и разогреть.Кусочки погрузить в кипящее масло. Помешивая, обжарить до румяной корочки 2-3 минуты на сильном огне. Готовый баурсак сцедить в дуршлаг или выложить на бумажное полотенце. Дать стечь жиру. Баурсак подается на стол холодным. К чаю. Баурсак можно посыпать сахарной пудрой. Его можно есть с катыком и молоком. Баурсак хорошо брать в дорогу."
Басма,"['баранина', 'помидоры', 'лук репчатый', 'морковь', 'картофель', 'перец болгарский', 'баклажан', 'тыква', 'огурцы свежие', 'стебель сельдерея', 'фасоль стручковая', 'капуста', 'чеснок', 'зелень']",/recipes/recipe.php?rid=132721,"Сначала я взял чистый сухой холодный казан и поставил на плиту. Огонь не зажигал, газ не включал. Стал выкладывать на дно казана хорошую свежую баранинку жирком книзу. И залюбовался. Но не забыл немного посолить и посыпать мясо зирой. Кстати, у меня уже были заготовленные всяческие порезанные продукты. Мясо я засыпал порезанным кольцами луком, сверху положил помидоры и снова посолил. Потом пошла морковка и сверху картошка. Желательно, чтобы картошка и помидоры вообще не соприкасались, и уж во всяком случае помидоры никогда бы не были сверху картошки. Это я имел в виду. И посолить опять не забыл. Ну чего ещё положить Пусть будет болгарский перец и баклажаны. Я их люблю. Тем более, весна - айвы из рецепта нет и в помине. Про посолить уже понятно. В холодильнике отыскался кусочек тыквы и огурцы. Туда их - в казан. Для вкуса и цвета всё сгодится. Соль под рукой, конечно. После этого ещё, не стесняясь, положил зелень прямо целиком - укроп, петрушка, базилик. И чеснок, очищенный от шелухи и попки. Чуть не забыл - еще добавил сельдерей и стручковую фасоль. Для запаха. - Сверху всё это укрыл листьями капусты, натертыми солью и зирой фото почему-то нету. Ну и всё. Плотно закрыл это сооружение крышкой, придавил сверху грузом и поставил на средний огонь. Когда внутри всё закипело, газ убавил почти до минимума и подержал ещё часик. В какой-то момент по всей квартире начал распространяться невыносимо вкусный запах, и жена начала как-то странно поглядывать на меня. Ну что же делать - выключил газ и открыл крышку. А там оказалось сочное, вкусное и практически паровое блюдо. Все продукты, включая мясо, буквально таяли во рту, не оставляя в животе совсем никакой тяжести. Отличное кушанье. Спасибо за рецепт уважаемому Сталику и, конечно, узбекским кулинарам"
Катлама с творогом и сыром,"['молоко', 'кефир', 'вода', 'мука', 'разрыхлитель', 'соль', 'творог', 'сыр твёрдый', 'масло сливочное']",/recipes/recipe.php?rid=166511,"Подготавливаем продукты.Кефир можно заменить мацони или другим кисломолочным напитком.Муку 500 г - это чуть больше 3-х стаканов ёмкостью 250 мл заранее просеиваем. Соединяем в глубокой ёмкости все жидкие ингредиенты - воду, молоко и кефир. Всыпаем соль, разрыхлитель и половину муки. Перемешиваем в миске, постепенно добавляя муку, пока замес лопаткой не станет слишком трудоёмким. Остаток муки высыпаем на стол. Сверху выкладываем тесто. Вымешиваем тесто руками до состояния средней плотности - тесто должно получиться мягким и начать отлипать от поверхностей.Помещаем тесто в миску и накрываем пищевой плёнкой. Сыр натираем на крупной тёрке. Смешиваем сыр с творогом. Отдохнувшее тесто обминаем. Делим тесто на шесть частей. Подкатываем кусочки теста в шарики и помещаем их под пищевую плёнку. Доставать для работы будем по одному. Стол щедро посыпаем мукой.Шарик теста раскатываем максимально тонко, обильно посыпая мукой. Складываем пласт теста в несколько раз. Перед каждым складыванием посыпаем тесто мукой, особенно в местах сгибов. Сложенные коржи укладываем на блюдо и держим под покровом полотенце, крышка, пищевая плёнка и т.п. пока работаем со следующими. Сливочное масло слегка подтапливаем в микроволновке. Перемешиваем. Стопку раскатанных коржей переворачиваем. Оказавшийся наверху корж раскладываем на столе и смазываем порцией сливочного масла. Поверх раскладываем следующий корж и тоже смазываем маслом.Выкладываем на тесто 13 начинки можно распределить по всей поверхности коржа, а можно выложить полосой вдоль края с одной стороны. Сворачиваем рулет. Рулет укладываем улиточкой и оставляем на 30-40 минут.В конце этого времени включаем духовку для разогрева до 180-190 градусов. Сформированную катламу раскатываем скалкой. Противень застилаем пергаментной бумагой. Если бумага не силиконизированная - слегка смазываем её маслом. Катламу смазываем молоком и выкладываем на противень.У меня поместились не все лепёшки, потому выпекала на двух противнях. Выпекаем лепёшки с сыром и творогом при 180-190 градусах 30 минут.Затем включаем верхний нагрев и увеличиваем температуру духовки до максимума у меня это 230 градусов. Через 5 минут верхняя катлама зарумянилась. Меняем противни местами и выпекаем катламу ещё 5 минут. Готовую катламу снова смазываем молоком, выкладываем стопкой на блюдо, накрываем полотенцем и немного остужаем. Есть катламу с творогом и сыром лучше горячей или тёплой - по мере остывания начинка становится твёрже.Подавая катламу на следующий день, предварительно смажьте её маслом, молоком или сметаной и подогрейте до горячего состояния, чтобы сыр снова расплавился. Приятного аппетита, "
Катлама,"['мука', 'вода', 'соль', 'масло сливочное', 'масло растительное']",/recipes/recipe.php?rid=142520,"Как приготовить катламуВ воде растворить соль. Постепенно подсыпая просеянную муку, замесить гладкое однородное тесто. Положить тесто в пакет, оставить отдохнуть на 20 минут. Раскатать тесто тонко и смазать сливочным маслом. Скатать пласт теста в тугой рулет. Разрезать рулет примерно на 8 бочоночков длиной 3-4 см. Каждый бочоночек перевернуть и приплюснуть в тонкую лепешку, толщиной примерно 1-2 мм. Лепешки еще раз промазать сверху сливочным маслом. Обжаривать лепешки с двух сторон на раскаленном растительном масле. Катлама готова. Жареные лепешки можно  есть, например, с мясом, а можно посыпать сверху сахарной пудрой и подать как сладкий десерт к чаю. Приятного Вам аппетита"
Чучвара,"['баранина', 'говядина', 'лук', 'соль', 'перец молотый', 'кориандр', 'яйца', 'вода', 'мука', 'лук', 'морковь', 'помидоры', 'масло растительное', 'соль', 'зелень кинзы']",/recipes/recipe.php?rid=123805,"Как приготовить чучваруВ миску вбить яйцо. Добавить воду, взбить. Посолить, добавить муку, замесить тесто для чучвары. Накрыть пищевой пленкой, и оставить на 20 минут. Раскатать тесто для чучвары в тонкий пласт, разрезать на одинаковые квадратики 4x4 см. На квадратик теста выложить фарш. Слепить треугольный пельмень. Соединить и слепить края. Обжарить на растительном масле лук до прозрачности. Обжарить морковь. Добавить помидор, жарить до тех пор, пока влага не испарится, а помидор не поджарится. Залить водой, посолить по вкусу, варить с открытой крышкой на маленьком огне 20 минут. Загружать чучвару порциями и отваривать 5-7 минут.Подавать чучвару с соусом. Украсить листиками зелени. Приятного аппетита"
Катлама фатыр (слоёная лепёшка) в духовке,"['молоко', 'кефир', 'яйца', 'мука', 'соль', 'разрыхлитель', 'масло сливочное', 'сметана', 'желток', 'масло растительное']",/recipes/recipe.php?rid=167365,"Подготавливаем все необходимые продукты.Муку 350-370 г - это неполные три стакана ёмкостью 200 мл просеиваем. В миску наливаем молоко и кефир. Добавляем яйцо. Также добавляем соль. Перемешиваем венчиком до однородности. Затем всыпаем половину муки, смешанной с разрыхлителем. Начинаем замешивать тесто, постепенно добавляя остальную муку. Тесто должно получиться эластичное, не липнущее к рукам, не слишком плотное. Делим тесто на 2 части, накрываем плёнкой и оставляем на 15 минут. Стол присыпаем мукой.Каждую часть теста обминаем и подкатываем в шар. Первый шар теста раскатываем в лепёшку. Продолжаем раскатывать тесто в пласт как можно тоньше, примерно 1 мм чем тоньше раскатано тесто, тем нежнее лепешка. Присыпаем раскатанное тесто мукой, складываем в несколько раз и ненадолго оставляем. Так же раскатываем и вторую часть теста. Сливочное масло растапливаем в микроволновке. Первый пласт теста разворачиваем и смазываем сливочным маслом. Накрываем вторым пластом. Смазываем поверхность второго пласта теста оставшимся сливочным маслом. После этого начинаем сворачивать оба сложенных пласта теста в рулет. Края получившегося рулета защипываем. Рулет сворачиваем улиткой. Кончик рулета подгибаем и прячем внутрь. Слегка распластывая, прижимаем улитку рукой. Оборачиваем заготоку плёнкой и помещаем в морозильную камеру на 30 минут. Вынимаем катламу из морозильника.Включаем духовку для разогрева до 200 градусов. На посыпанном мукой столе раскатываем лепёшку скалкой до толщины 1-1,5 см. Противень застилаем пергаментом и смазываем растительным маслом.Выкладываем катламу на противень. Соединяем желток и сметану. Перемешиваем до однородности. Полученной смесью хорошенько смазываем поверхность лепёшки. Вилкой делаем узор на поверхности катламы. Ставим противень с лепёшкой в разогретую до 200 градусов духовку. Выпекаем катламу фатыр 25-30 минут, до золотистой корочки. Слоёная лепёшка готова. Оставляем её немного остыть, а затем подаём. Приятного аппетита"
Пельмешки на узбекский лад,"['яйца', 'вода', 'соль', 'мука', 'мясо', 'жир', 'лук', 'соль', 'специи', 'лук', 'морковь', 'помидоры', 'томат-паста', 'соль', 'специи', 'лавровый лист']",/recipes/recipe.php?rid=121280,"1 Сделать фарш, какой нравится. Я кручу через мясорубку мясо, жир и лук репчатый лука кладу много  соль, немного специй. 2 Тесто обыкновенное, пельменное. Яйцо, воду и соль взболтать, всыпать муку сколько возьмёт. Вымешиваю упругое тесто. Очень сильно вымешиваю. 2 Делаю такую колбасу и отрезаю по кусочку. Раскатываю, кладу в середину фарш, леплю пельмень. Ещё можно тесто раскатать скалкой и нарезать на квадраты, в середину фарш, потом концы противоположные слепить наподобие треугольника, а два оставшихся кончика тоже слепить вместе. 3 Берёте казан или кастрюлю с толстым дном, нагреваете его на большом огне, раскаливаете немного растительного масла и обжариваете сначала 1 крупную луковицу полукольцами, потом добавляете нашинкованную морковь. Жарить до лёгкой золотистости. 4 Потом немного томатной пасты или помидорчик, ещё чуть поджарить, затем влить большое количество воды, довести до кипения. Посолить  любимые специи не переборщите  лавровый лист и несколько горошин душистого перца перец можно пару раз стукнуть пестиком в ступке. 5 Как всё закипит, забурлит, всыпать пельмешки и варить до готовности. Можно есть с бульоном, а можно просто так. Приятного аппетита"
Салат «Ташкент»,"['редька', 'говядина отварная', 'лук репчатый', 'сметана', 'майонез', 'яйца', 'масло', 'зелень петрушки', 'соль', 'перец чёрный молотый']",/recipes/recipe.php?rid=62603,"Как приготовить салат Ташкент, Разогреть салатное масло, спассеровать нарезанный тонкими кольцами лук до темно-золотистого цвета, охладить до комнатной температуры. Очистить редьку, нашинковать тонкой соломкой, промыть в теплой воде и положить на полчаса в холодную воду для удаления специфического запаха и горечи. Затем откинуть на дуршлаг, дать стечь воде, слегка отжать. Вареное мясо нарезать соломкой, соединить с редькой, заправить солью и перцем, добавить пассерованный лук и все хорошо перемешать. Выложить салат Ташкент в салатницу, полить сметаной, досыпать рубленой зеленью. Украсить салат Ташкент дольками или кружочками круто сваренных яиц, розеткой из лука поверх горки и треугольниками из редьки, уложенными вокруг."
Манты с мясом и грибами,"['вода', 'мука', 'яйца', 'соль', 'масло сливочное', 'филе свинины', 'грибы', 'масло сливочное', 'лук репчатый', 'чеснок', 'соль', 'перец', 'специи']",/recipes/recipe.php?rid=132493,"Как приготовить манты с мясом и грибамиМуку просеять.В чашу вылить воду, добавить яйцо. Постепенно высыпать муку, замесить тесто так, чтобы не липло к рукам. Накрыть тесто полотенцем, убрать в сторону. Мясо мелко порезать, лук нашинковать. В сковороде растопить масло, закинуть туда грибы, немного посолить можно добавить грибную приправу, выдавить чеснок. Жарить до румяности. Добавить в сковороду мясо и лук. Добавить приправы, посолить. Обжарить до румяности мяса. Немного сливочного масла растопить в чашечке для смазывания теста и мантов. Тесто раскатать в колбаску, разрезать на 8 частей.Подготовить пароварку - смазать маслом формы. Каждую часть теста раскатать в кружок толщиной 3-5 мм, диаметром 8-10 см. Слегка смазать маслом, выложить начинку 1-2 ст.л. можно добавить свежую зелень. Слепить манты и выложить в форму. Сверху манты с мясом и грибами еще немного смазать сливочным маслом.Варить манты с мясом и грибами 40-60 минут."
Плов по-фергански,"['баранина', 'рис', 'морковь', 'жир', 'масло растительное', 'чеснок', 'лук репчатый', 'перец красный', 'вода', 'кумин', 'барбарис', 'соль', 'помидоры черри', 'лук репчатый', 'перец чили']",/recipes/recipe.php?rid=136999,"Подготавливаем для ферганского плова все необходимые продукты. Рис промываем до прозрачности и заливаем горячей водой с добавлением десертной ложки соли каменной. Очищаем морковь. Нарезаем её длинными тонкими диагональными брусочками. Срезаем часть мякоти с кости. Нарезаем лук полукольцами. Зачищаем головки чеснока. Нарезаем бараний жир, выставляем у плиты все подготовленные продукты. Раскаляем вок, вливаем растительное масло, нагреваем его, добавляем жир. Убираем выжареные кусочки жира. Помещаем в вок бараньи кости с солью и щепоткой зиры, обжариваем их, интенсивно помешивая. От цвета обжарки зависит цвет плова. Добавляем лук, продолжаем мешать, пока лук не зазолотится. На очереди - куски мякоти баранины. Обжариваем их около десяти минут. Всыпаем морковь. Готовим до мягкости, перемешивая семь минут. Заливаем кипящей водой. При закипании добавляем чеснок, стручки перца. Готовим зирвак тридцать минут на маленьком огне. Достаем кости, перец, чеснок. Солим по вкусу, делая немного соленее, рассчитывая на рис. Увеличиваем огонь, всыпаем рис, предварительно слив с него воду. Выравниваем рис, поглаживая его шумовкой, аккуратно перемещая от краёв к центру и наоборот, добиваясь максимального впитывания зирвака в рис. Постепенно уменьшаем огонь. Формуем купол, продолжая поглаживать верхние слои риса шумовкой. Рис должен оставаться упругим, но не хрустящим и сырым. Делаем углубление. Добавляем кости, чеснок, перец, зиру и ягоды барбариса. Снова формуем купол из риса. Делаем огонь минимальным. Накрываем плотной крышкой. Готовим плов из баранины 10 минут. Выключаем, но не открываем крышку еще 25 минут. Подготавливаем ингредиенты для узбекского салата из помидоров, который будем использовать для подгарнировки плова по-фергански. Нашинкуем четвертькольцами белый лук. Красные и оранжевые черри - кружочками. Добавляем соль с порошком чили. Перемешиваем. Рассыпчатый ароматный плов по-фергански готов к сервировке. Достаем кости, чеснок, перец. Плов из баранины перемешиваем для однородного распределения продуктов. Подаем плов по-фергански в виде сферы, с кусками мяса, чеснока, перца на вершине, окружив его помидорно-луковым салатом. Приятных гастрономических впечатлений за новогодним столом"
Зеленый узбекский плов бахш,"['говядина', 'рис', 'кинза', 'лук зелёный', 'зелень петрушки', 'лук репчатый', 'жир куриный', 'масло оливковое', 'соль', 'перец', 'вода']",/recipes/recipe.php?rid=128701,"Как приготовить узбекский плов бахшНарезаем репчатый лук очень мелко. Говядину нарезаем мелкими кубиками со стороной в один сантиметр. Измельчаем куриный жир. Разогреваем сковороду, наливаем немного оливкового масла. Выкладываем мясо и жир на сковороду.Внимание Нам нужно только слегка обжарить мясо, чтобы оно изменило цвет. Глубоко протушивать нельзя пересушите мясо  плов выйдет сухим. Мясо посветлело Добавляем к нему репчатый лук, перемешиваем. Уменьшаем огонь. Крышкой не накрываем, Мелко рубим кинзу, петрушку. Измельчаем зеленый лук, перемешиваем с остальной зеленью. В кастрюлю с толстым дном или казан выкладываем подтушенное мясо с луком. К нему добавляем зелень, перемешиваем. Промываем рис. Отправляем рис в кастрюлю и снова перемешиваем. Этот плов очень удобно рассчитывать по количеству продуктов. Нужно брать столько же риса по весу, сколько весит мясо, и столько же кинзы. Зелень легкая, так что не удивляйтесь, что 250-300 граммов кинзы  это огромная копна. Кому не под силу быстро ее нарезать, лучше сделать это заранее. Наливаем в кастрюлю два стакана воды, не больше. Кладем соль, перец, перемешиваем бахш в очередной раз. Ставим на огонь, накрываем крышкой и оставляем зеленый узбекский плов на 30-40 минут. Наш прекрасный бахш, зеленый узбекский плов, готов. Посмотрите - рисинка к рисинке, все пропиталось соками мяса, лука, зелени. Пригласите гостей  бахш не едят в одиночестве, заварите зеленый чай  единственный напиток, гармонирующий с пловом, раздайте гостям халаты и представьте себя в древней столице Центральной Азии - Бухаре. Этот вечер станет незабываемым для вас и ваших гостей. Наслаждайтесь"
Маринад для баранины по-узбекски,"['соль', 'уксус', 'лавровый лист', 'мука', 'вода', 'перец чёрный горошком', 'перец душистый']",/recipes/recipe.php?rid=4259,"Сначала готовят маринад кипятят воду с кружочками лука, солью и приправами, охлаждают и добавляют уксус."
Машхурда с мясом,"['грудинка говяжья', 'картофель', 'лук репчатый', 'морковь', 'перец болгарский', 'масло подсолнечное', 'томат-паста', 'помидоры', 'вода', 'маш', 'рис', 'чеснок', 'зира', 'кориандр', 'соль']",/recipes/recipe.php?rid=146552,"Подготовьте продукты для машхурды. Готовить машхурду нужно в посуде с толстым дном, так как на первом этапе приготовления ингредиенты будут обжариваться. Мясо и жир срежьте с костей. Нарежьте мясо небольшими кусочками. Вытопите жирок и обжарьте на нём кости. Если жира недостаточно, можно долить подсолнечное масло. Теперь в кастрюлю переложите нарезанные мясо и лук. Обжарьте мясо и лук в течение 5 минут, пока мясо не изменит цвет. Добавьте сладкий красный перец и морковь, нарезанные кубиками. Обжарьте всё вместе ещё минут 5 на сильном огне. Затем добавьте помидор, нарезанный кубиками, и томатную пасту. Снова всё обжарьте минут 5. Маш промойте, переложите в кастрюлю с мясом и овощами. Залейте маш с мясом и овощами кипятком, доведите суп до кипения и варите на медленном огне 30 минут. Через 30 минут в суп добавьте картофель, нарезанный кубиками среднего размера. Варите суп до готовности маша. Когда маш будет мягким, добавьте в суп промытый рис и соль по вкусу. Продолжайте варить машхурду на медленном огне до готовности теперь уже риса к этому моменту остальные ингредиенты также будут готовы. В готовую машхурду добавьте чёрный молотый перец и чеснок, перетёртый с кориандром и зирой. Подавайте машхурду в горячем виде со свежей зеленью.Приятного аппетита"
Узбекский плов (в мультиварке),"['баранина', 'ребра', 'морковь', 'лук репчатый', 'рис', 'барбарис', 'перец красный', 'соль', 'масло растительное', 'чеснок', 'вода', 'приправа']",/recipes/recipe.php?rid=124267,"Продукты для плова по-узбекски в мультиварке перед вами. Как приготовить плов в мультиваркеМясо помыть и осушить. Мясо нарезать небольшими кусочками. Лук репчатый очистить, помыть и нарезать полукольцами. Морковь очистить, помыть и нарезать тонкой соломкой. В чашу мультиварки налить растительное масло. Включить программу Жарка. Обжарить мясо, помешивая, до золотистого цвета 7-10 минут. Положить к мясу, подготовленные лук и морковь. Обжарить в течение 10 минут. Добавить специи, неочищенные зубчики чеснока, барбарис, соль. Перемешать. Выключить программу Жарка. Хорошо промыть рис. Выложить рис на мясо. Залить рис водой так, чтобы она была выше риса на 1,5-2 см. Включить программу Молочные каши. Крупы и готовить плов в мультиварке 60 минут. Узбекский плов в мультиварке готов.Приятного аппетита"
Соус для голубцов из виноградных листьев,"['кости бараньи', 'масло топлёное', 'соль', 'перец']",/recipes/recipe.php?rid=684,"соус 150 г костей, 50 г топленого масла. Соль и специи — по вкусу."
Коурма-шурпа,"['кости бараньи', 'жир курдючный', 'лук репчатый', 'морковь', 'перец сладкий', 'айва', 'помидоры', 'картофель', 'рис', 'чеснок', 'масло растительное', 'соль', 'перец красный', 'зира', 'куркума']",/recipes/recipe.php?rid=128622,"Обожая шурпу, мы, тем не менее, всегда предпочитали ее татарский вариант, в котором все продукты добавляются без предварительной обжарки, а мяса кладется чуть ли не 1,5 кг на казан. Суп этот, конечно, сказочный, но для него овощи должны быть очень вкусными и ароматными... Печальным взором окинув овощной прилавок, в марте напоминающий кунсткамеру, и этим же взором заглянув в кошелек, поняла, что концепцию надо менять. Узбекская жареная шурпа позволяет убить двух зайцев сразу - использовать для супа пару голых косточек и срезанную с них горстку мяса, которым обжарка позволит вытянуть бульон, и добавлять в суп более внесезонные овощи. Очень важно, чтобы все продукты были хорошо обжарены, то есть казан или сковородка должны быть разогреты до значительной температуры. Продукты нужно часто перемешивать, чтобы не подгорели, и четко понимать, что с добавлением каждого следующего ингредиента предыдущие тоже продолжают обжариваться, пусть и не так интенсивно... Ладно, все там несложно, , 1. С костей я как можно тщательнее срезала мясо и порезала его маленькими кусочками. Лук нарезаем полукольцами, чеснок крупно рубим, морковь - шайбами или кусочками, перец крупно, айву и картошку - дольками. Рис промыть и залить водой, помидоры нарезать и ошкурить Послушала Марата - плевалась шкурками. Все нужно подготовить заранее, потому что времени и обжаривать и нарезать точно не будет. 2. В хорошо разогретом масле вытапливаем немного курдючного жира - для запаха. Вытаскиваем шкварки, забрасываем айву, хорошо посыпанную солью и молотой зирой. Обжарив ее, достаем на тарелку - она понадобится в конце, так что шуганите домашних, пока не сожрали  , 3. Отправляем в казан морковь и обжариваем до изменения цвета и запаха. После морковки нужно добавить мясо. Я вначале обжарила косточки до уверенной корочки, а затем добавила кусочки мяса. Их румянить не надо, достаточно, чтобы просто стали бежевыми - им еще долго в казане телепаться, дойдут. 4. Добавляем сладкий перец, после того, как он прихватится - лук и чеснок. 5. Когда лук обжарится до румяности, пора отправлять в казан помидоры. Если вы, как и я, лоханулись и взяли свежие, - советую хорошенько отжать из них жидкость, потому что потом загребетесь ее выпаривать, а нужно, чтобы и помидоры прижарились слегка. И - ошкуривайте, ошкуривайте их Учитесь на моих ошибках. 5. В помидоры самое время добавить острый перец и растертую слегка зиру. Кстати, в ситуации с излишней влагой в томатах меня спас рис - я его добавила и несколько минут подождала, вместо того, чтобы сразу закладывать картофель и добавлять воду. Рис успешно впитал часть жидкости. 6. Заливаем в казан 3 литра горячей воды, уменьшаем огонь, чтобы шурпа едва побулькивала и оставляем на час-полтора. Выправляем на соль, добавляем сушеный базилик и отбитую у домочадцев айву. Варим еще 15-20 минут, оставляем настояться."
